word,phonetic,pos,definition,source
fork,fɔrk,,餐叉,人教小学四年级
knife,naɪf,,刀,人教小学四年级
spoon,spun,,"匙,勺子",人教小学四年级
dinner,'dɪnɚ,,正餐,人教小学四年级
ready,'rɛdi,,准备好,人教小学四年级
help yourself,,,为（自己）取用,人教小学四年级
pass,pæs,,给,人教小学四年级
try,traɪ,,试,人教小学四年级
parents,'pɛrənts,,父母,人教小学四年级
cousin,'kʌzn,,同辈表亲,人教小学四年级
uncle,'ʌŋkl,,叔叔,人教小学四年级
aunt,ænt,,阿姨,人教小学四年级
baby brother,,,小弟弟,人教小学四年级
doctor,'dɑktɚ,,医生,人教小学四年级
cook,kʊk,,厨师,人教小学四年级
driver,'draɪvɚ,,司机,人教小学四年级
farmer,'fɑmɚ,,农民,人教小学四年级
nurse,nɝs,,护士,人教小学四年级
people,'pipl,,人们,人教小学四年级
but,bʌt,,但是,人教小学四年级
little,'lɪtl,,小的,人教小学四年级
puppy,'pʌpi,,小狗,人教小学四年级
football player,,,足球运动员,人教小学四年级
job,dʒɒb,,工作,人教小学四年级
basketball,'bæskɪtbɔl,,篮球,人教小学四年级
first floor,fɝ​st flɔr,,一楼（美）；二楼（英）,人教小学四年级
second floor,,,二楼,人教小学四年级
teacher's office,,,教师办公室,人教小学四年级
library,laɪˌbrɛrɪ,,图书馆,人教小学四年级
playground,'ple'graʊnd,,操场,人教小学四年级
computer room,,,计算机房,人教小学四年级
art room,ɑrt rum,,美术教室,人教小学四年级
music room,,,音乐教室,人教小学四年级
next to,,,紧邻,人教小学四年级
homework,'hom'wɝk,,作业,人教小学四年级
class,klæs,,班级,人教小学四年级
forty,'fɔrti,,四十,人教小学四年级
way,we,,方向,人教小学四年级
breakfast,'brɛkfəst,,早餐,人教小学四年级
English class,,,英语课,人教小学四年级
lunch,lʌntʃ,,午饭,人教小学四年级
music class,,,音乐课,人教小学四年级
PE class,,,体育课,人教小学四年级
dinner,'dɪnɚ,,正餐,人教小学四年级
get up,,,起床,人教小学四年级
go to school,,,上学,人教小学四年级
go home,,,回家,人教小学四年级
go to bed,,,去睡觉,人教小学四年级
over,'ovɚ,,结束,人教小学四年级
now,naʊ,,现在,人教小学四年级
o'clock,ə'klɑk,,⋯⋯点钟,人教小学四年级
kid,kɪd,,小孩,人教小学四年级
thirty,'θɝti,,三十,人教小学四年级
hurry up,'hɝrɪ ʌp,,快点,人教小学四年级
come on,,,加油,人教小学四年级
just a minute,,,稍等一会儿,人教小学四年级
cold,kold,,冷的,人教小学四年级
cool,kul,,凉的,人教小学四年级
warm,wɔrm,,温暖的,人教小学四年级
hot,hɑt,,热的,人教小学四年级
sunny,'sʌni,,阳光充足的,人教小学四年级
windy,'wɪndi,,多风的,人教小学四年级
cloudy,'klaʊdi,,多云的,人教小学四年级
snowy,'snoɪ,,下雪的,人教小学四年级
rainy,'reni,,阴雨的,人教小学四年级
outside,",aʊt'saɪd",,在户外,人教小学四年级
be careful,,,小心,人教小学四年级
weather,'wɛðɚ,,天气,人教小学四年级
New York,ˈnju: ˈjɔ:k,,纽约,人教小学四年级
how about...,,,怎么样？,人教小学四年级
degree,dɪ'ɡri,,度,人教小学四年级
world,wɝld,,世界,人教小学四年级
London,ˈlʌndən,,伦敦,人教小学四年级
Moscow,ˈmɑsˌkaʊ,,莫斯科,人教小学四年级
Singapore,ˌsɪŋgə'pɔ:,,新加坡城,人教小学四年级
Sydney,'sɪdnɪ,,悉尼,人教小学四年级
fly,flaɪ,,放（风筝）,人教小学四年级
love,lʌv,,爱你的,人教小学四年级
tomato,tə'meto,,西红柿,人教小学四年级
potato,pə'teto,,马铃薯,人教小学四年级
green beans,,,豆角,人教小学四年级
carrot,'kærət,,胡萝卜,人教小学四年级
horse,hɔrs,,马,人教小学四年级
cow,kaʊ,,牛,人教小学四年级
sheep,ʃip,,绵羊,人教小学四年级
hen,hɛn,,母鸡,人教小学四年级
these,ðiz,,这些,人教小学四年级
yum,jʌm,,味道好,人教小学四年级
animal,'ænɪml,,动物,人教小学四年级
those,ðoz,,那些,人教小学四年级
garden,'ɡɑrdn,,花园,人教小学四年级
farm,fɑrm,,农场,人教小学四年级
goat,ɡot,,山羊,人教小学四年级
eat,it,,吃,人教小学四年级
clothes,kloz,,服装,人教小学四年级
pants,pænts,,裤子,人教小学四年级
hat,hæt,,帽子,人教小学四年级
dress,drɛs,,连衣裙,人教小学四年级
skirt,skɝt,,女裙,人教小学四年级
coat,kot,,大衣,人教小学四年级
sweater,'swɛtɚ,,毛衣,人教小学四年级
sock,sɑk,,短袜,人教小学四年级
shorts,ʃɔrts,,短裤,人教小学四年级
jacket,'dʒækɪt,,夹克衫,人教小学四年级
shirt,ʃɝt,,衬衫,人教小学四年级
yours,jʊrz,,你的,人教小学四年级
whose,huz,,谁的,人教小学四年级
mine,maɪn,,我的,人教小学四年级
pack,pæk,,收拾,人教小学四年级
wait,wet,,等待,人教小学四年级
glove,ɡlʌv,,手套,人教小学四年级
scarf,skɑrf,,围巾,人教小学四年级
umbrella,ʌm'brɛlə,,伞,人教小学四年级
sunglasses,'sʌnɡlæsɪz,,太阳镜,人教小学四年级
pretty,ˈprɪtɪ,,美丽的,人教小学四年级
expensive,ɪk'spɛnsɪv,,贵的,人教小学四年级
cheap,tʃip,,便宜的,人教小学四年级
nice,naɪs,,好的,人教小学四年级
try on,,,试穿,人教小学四年级
size,saɪz,,尺码,人教小学四年级
of course,,,当然,人教小学四年级
too,tu,,太,人教小学四年级
just,dʒʌst,,正好,人教小学四年级
how much,haʊ mʌtʃ,,多少钱,人教小学四年级
eighty,ˈeti,,八十,人教小学四年级
dollar,'dɑlɚ,,元,人教小学四年级
sale,sel,,特价销售,人教小学四年级
more,mɔr,,更多的,人教小学四年级
us,əs; ʌs,,我们,人教小学四年级
